Dataset_Index,user:masked_username,user:age_of_account_bins,user:verified,tweet:retweets_bins,tweet:favorites_bins,user:followers_bins,user:friends_bins,user:listed_bins,user:favorites_bins,user:statuses_bins,user:default_profile,user:default_profile_image,tweet:hour_bins,tweet:reply_status,tweet:quote_status
1,username_1621,2,no_verified,4,0,3,3,3,4,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
4,username_1622,3,no_verified,3,0,4,4,4,4,3,no_default_profile,no_default_profile_image,0,no_reply,no_quote
10,username_1623,4,no_verified,3,0,0,1,1,1,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
14,username_1624,1,no_verified,3,0,4,4,4,4,4,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
16,username_1625,1,no_verified,3,0,1,1,0,2,1,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
17,username_1626,1,no_verified,3,0,0,0,2,0,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
23,username_1627,1,no_verified,0,0,4,2,4,3,4,no_default_profile,no_default_profile_image,1,no_reply,no_quote
24,username_1628,1,no_verified,0,0,2,1,1,4,2,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
27,username_1629,1,no_verified,1,0,0,0,0,1,1,yes_default_profile,yes_default_profile_image,0,no_reply,no_quote
28,username_1630,2,no_verified,4,0,3,2,3,0,4,no_default_profile,no_default_profile_image,2,no_reply,no_quote
33,username_1631,1,no_verified,1,0,2,3,1,1,1,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
36,username_1632,4,no_verified,4,0,3,3,2,4,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
37,username_1633,0,no_verified,1,0,1,2,1,1,4,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
40,username_1634,3,no_verified,0,0,1,1,0,2,1,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
41,username_1635,0,no_verified,4,0,0,0,0,2,0,no_default_profile,no_default_profile_image,3,no_reply,no_quote
46,username_1636,0,no_verified,3,0,4,4,0,3,3,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
47,username_1637,3,no_verified,0,0,2,2,0,1,1,no_default_profile,no_default_profile_image,3,no_reply,no_quote
48,username_1638,1,no_verified,0,0,3,0,3,2,4,no_default_profile,no_default_profile_image,1,no_reply,no_quote
53,username_1639,3,no_verified,2,0,3,4,3,1,2,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
54,username_1640,1,no_verified,0,0,2,2,1,3,3,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
55,username_1641,2,no_verified,4,0,3,1,2,3,3,no_default_profile,no_default_profile_image,3,no_reply,no_quote
57,username_1642,0,no_verified,3,0,1,2,1,1,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
58,username_1643,3,no_verified,1,0,3,3,4,2,4,no_default_profile,no_default_profile_image,1,no_reply,no_quote
59,username_1644,3,no_verified,4,0,2,1,0,2,1,no_default_profile,no_default_profile_image,2,no_reply,no_quote
62,username_1645,0,no_verified,2,0,0,1,0,0,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
63,username_1646,4,no_verified,3,0,0,1,0,1,0,no_default_profile,yes_default_profile_image,4,no_reply,no_quote
65,username_1647,4,no_verified,0,0,4,4,4,1,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
66,username_1648,1,no_verified,3,0,4,4,4,4,3,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
67,username_1649,4,no_verified,0,0,4,1,2,4,1,no_default_profile,no_default_profile_image,1,no_reply,no_quote
71,username_1650,2,no_verified,1,0,3,2,4,4,4,yes_default_profile,yes_default_profile_image,4,no_reply,no_quote
78,username_1651,0,no_verified,3,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
80,username_1652,2,no_verified,4,0,4,4,3,1,2,no_default_profile,no_default_profile_image,3,no_reply,no_quote
82,username_1653,4,no_verified,2,0,4,4,0,4,3,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
85,username_1654,3,no_verified,2,0,3,2,3,4,3,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
87,username_1655,0,no_verified,2,0,0,0,0,2,1,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
89,username_1656,0,no_verified,0,0,3,3,3,2,3,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
92,username_1657,0,no_verified,4,0,1,1,0,1,0,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
93,username_1658,4,no_verified,3,0,4,4,4,2,4,no_default_profile,no_default_profile_image,4,no_reply,no_quote
94,username_1659,2,no_verified,4,0,2,1,0,3,1,no_default_profile,no_default_profile_image,3,no_reply,no_quote
95,username_1660,4,no_verified,0,0,1,2,1,0,0,no_default_profile,no_default_profile_image,3,no_reply,yes_quote
97,username_1661,0,no_verified,0,0,2,1,0,1,2,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
98,username_1662,2,no_verified,0,0,2,2,4,1,1,no_default_profile,no_default_profile_image,1,no_reply,no_quote
104,username_1663,4,no_verified,4,0,2,3,1,2,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
106,username_1664,0,no_verified,3,0,1,0,2,3,2,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
108,username_1665,3,no_verified,4,0,3,3,2,2,3,no_default_profile,no_default_profile_image,3,no_reply,no_quote
112,username_1666,0,no_verified,1,0,3,2,3,4,3,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
113,username_1667,2,no_verified,4,0,2,2,2,3,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
115,username_1668,4,no_verified,3,0,1,3,3,0,0,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
117,username_1669,4,no_verified,2,0,4,4,4,4,4,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
125,username_1670,1,no_verified,1,0,4,4,4,4,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
128,username_1671,3,no_verified,1,0,2,1,0,1,1,no_default_profile,no_default_profile_image,1,no_reply,no_quote
131,username_1672,4,no_verified,2,0,4,3,4,4,4,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
135,username_1673,4,no_verified,0,0,1,2,2,2,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
136,username_1674,2,no_verified,2,0,1,3,1,4,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
139,username_1675,2,no_verified,0,0,3,1,3,3,3,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
142,username_1676,1,no_verified,3,0,0,3,0,3,1,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
144,username_1677,0,no_verified,3,0,1,2,0,1,0,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
147,username_1678,4,no_verified,0,0,4,3,4,2,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
149,username_1679,4,no_verified,2,0,4,2,4,4,4,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
150,username_1680,2,no_verified,4,0,2,1,0,1,2,no_default_profile,no_default_profile_image,3,no_reply,no_quote
156,username_1681,3,no_verified,3,0,3,4,1,4,2,no_default_profile,no_default_profile_image,4,no_reply,no_quote
157,username_1682,1,no_verified,3,0,2,3,3,1,2,yes_default_profile,yes_default_profile_image,4,no_reply,no_quote
159,username_1683,4,no_verified,0,0,2,3,4,1,1,no_default_profile,no_default_profile_image,3,no_reply,no_quote
160,username_1684,3,no_verified,0,0,4,4,4,4,4,no_default_profile,no_default_profile_image,4,no_reply,no_quote
162,username_1685,4,no_verified,0,0,4,4,4,2,4,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
164,username_1686,2,no_verified,4,0,3,3,2,2,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
168,username_1687,0,no_verified,4,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
169,username_1688,0,no_verified,1,0,0,0,1,2,2,yes_default_profile,yes_default_profile_image,3,no_reply,no_quote
170,username_1689,1,no_verified,4,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
172,username_1690,3,no_verified,1,0,2,1,0,1,3,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
176,username_1691,0,no_verified,2,0,4,4,3,4,4,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
