Dataset_Index,user:masked_username,tweet:retweets_bins,tweet:favorites_bins,user:followers_bins,user:friends_bins,user:listed_bins,user:favorites_bins,user:statuses_bins,user:default_profile,user:default_profile_image,tweet:hour_bins,tweet:reply_status,tweet:quote_status
hasoc_en_1,username_1,1,2,4,0,3,0,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
hasoc_en_3,username_2,0,0,0,2,0,2,1,yes_default_profile,no_default_profile_image,3,yes_reply,no_quote
hasoc_en_4,username_3,0,0,3,4,2,4,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
hasoc_en_6,username_4,0,0,4,4,1,3,3,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
hasoc_en_7,username_5,0,0,1,1,0,1,0,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
hasoc_en_8,username_6,0,0,2,3,0,3,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
hasoc_en_9,username_7,0,1,2,0,1,0,0,yes_default_profile,no_default_profile_image,7,no_reply,no_quote
hasoc_en_10,username_8,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
hasoc_en_11,username_9,0,0,0,1,0,0,0,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
hasoc_en_12,username_10,0,2,3,3,2,4,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_13,username_11,1,2,0,2,0,1,1,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
hasoc_en_14,username_12,1,2,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
hasoc_en_15,username_13,0,0,0,0,0,1,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
hasoc_en_16,username_14,1,2,0,1,0,2,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_17,username_15,0,0,2,2,0,1,1,no_default_profile,no_default_profile_image,9,no_reply,yes_quote
hasoc_en_18,username_16,0,1,1,1,1,0,0,no_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_19,username_17,0,0,0,0,0,0,0,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
hasoc_en_20,username_18,0,2,1,0,0,1,1,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_21,username_19,0,0,1,0,0,1,1,yes_default_profile,no_default_profile_image,7,yes_reply,no_quote
hasoc_en_22,username_20,0,0,2,2,1,0,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
hasoc_en_23,username_21,1,2,4,0,3,1,4,no_default_profile,no_default_profile_image,8,no_reply,no_quote
hasoc_en_24,username_22,1,2,1,0,0,1,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
hasoc_en_25,username_23,1,2,3,3,2,1,2,no_default_profile,no_default_profile_image,7,no_reply,no_quote
hasoc_en_26,username_24,0,1,2,3,0,4,1,no_default_profile,no_default_profile_image,5,no_reply,no_quote
hasoc_en_27,username_25,0,1,1,3,0,0,1,no_default_profile,no_default_profile_image,2,no_reply,no_quote
hasoc_en_28,username_26,0,0,2,3,1,3,2,yes_default_profile,no_default_profile_image,4,no_reply,yes_quote
hasoc_en_29,username_20,0,0,2,2,1,0,2,no_default_profile,no_default_profile_image,4,no_reply,no_quote
hasoc_en_30,username_27,0,0,2,3,2,3,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
hasoc_en_31,username_28,1,2,4,3,3,4,3,no_default_profile,no_default_profile_image,7,no_reply,no_quote
hasoc_en_32,username_29,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
hasoc_en_33,username_30,0,0,1,3,0,2,1,yes_default_profile,no_default_profile_image,6,yes_reply,no_quote
hasoc_en_34,username_31,0,0,3,4,2,4,4,no_default_profile,no_default_profile_image,8,no_reply,yes_quote
hasoc_en_35,username_32,0,0,1,3,0,1,0,yes_default_profile,no_default_profile_image,5,yes_reply,no_quote
hasoc_en_36,username_33,1,2,4,4,3,4,4,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
hasoc_en_37,username_1,1,2,4,0,3,0,4,no_default_profile,no_default_profile_image,6,no_reply,no_quote
hasoc_en_38,username_34,0,0,1,1,2,3,1,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
hasoc_en_39,username_35,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
hasoc_en_40,username_36,0,0,2,2,1,3,4,yes_default_profile,no_default_profile_image,4,no_reply,yes_quote
hasoc_en_41,username_11,1,2,0,2,0,1,1,yes_default_profile,no_default_profile_image,7,no_reply,no_quote
hasoc_en_45,username_37,0,0,2,3,2,3,3,no_default_profile,no_default_profile_image,9,no_reply,yes_quote
hasoc_en_46,username_38,0,0,2,0,0,2,1,no_default_profile,no_default_profile_image,3,yes_reply,no_quote
hasoc_en_47,username_39,1,2,1,2,0,2,1,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_48,username_40,0,1,4,4,1,2,2,yes_default_profile,no_default_profile_image,7,no_reply,yes_quote
hasoc_en_49,username_41,0,0,3,2,2,0,4,no_default_profile,no_default_profile_image,5,no_reply,yes_quote
hasoc_en_50,username_42,0,0,1,1,0,1,1,yes_default_profile,no_default_profile_image,9,yes_reply,no_quote
hasoc_en_51,username_20,0,0,2,2,1,0,2,no_default_profile,no_default_profile_image,4,no_reply,no_quote
hasoc_en_52,username_43,0,0,0,0,0,0,1,yes_default_profile,yes_default_profile_image,5,yes_reply,no_quote
hasoc_en_53,username_44,0,0,3,4,1,1,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_54,username_45,0,0,0,1,0,1,0,no_default_profile,no_default_profile_image,9,no_reply,no_quote
hasoc_en_55,username_46,0,0,0,0,0,1,0,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
hasoc_en_57,username_47,0,0,1,2,1,1,2,no_default_profile,no_default_profile_image,4,no_reply,no_quote
hasoc_en_59,username_48,0,1,2,2,0,3,1,yes_default_profile,no_default_profile_image,7,no_reply,no_quote
hasoc_en_60,username_49,0,2,4,0,2,1,1,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_61,username_50,0,0,2,2,0,1,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_62,username_51,0,0,0,0,0,0,0,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
hasoc_en_63,username_52,0,1,0,0,0,0,0,yes_default_profile,yes_default_profile_image,3,no_reply,no_quote
hasoc_en_64,username_53,0,0,4,4,2,3,3,yes_default_profile,no_default_profile_image,9,no_reply,yes_quote
hasoc_en_65,username_54,0,1,0,0,0,0,0,yes_default_profile,yes_default_profile_image,4,no_reply,no_quote
hasoc_en_66,username_55,0,0,3,3,2,4,3,no_default_profile,no_default_profile_image,8,no_reply,no_quote
hasoc_en_67,username_56,0,0,3,4,2,4,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_68,username_57,0,0,2,4,0,2,1,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_69,username_58,0,0,2,3,0,3,1,no_default_profile,no_default_profile_image,5,no_reply,no_quote
hasoc_en_70,username_59,0,0,1,2,0,1,1,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
hasoc_en_71,username_60,0,0,1,1,0,2,1,no_default_profile,no_default_profile_image,8,no_reply,yes_quote
hasoc_en_72,username_61,1,2,2,2,2,2,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
hasoc_en_73,username_62,0,0,0,1,0,0,1,no_default_profile,no_default_profile_image,5,no_reply,no_quote
hasoc_en_74,username_63,0,0,0,2,0,2,0,no_default_profile,no_default_profile_image,0,no_reply,no_quote
hasoc_en_75,username_64,0,1,2,4,0,3,3,yes_default_profile,no_default_profile_image,5,yes_reply,no_quote
hasoc_en_76,username_65,0,1,2,2,3,0,4,no_default_profile,no_default_profile_image,9,no_reply,no_quote
hasoc_en_77,username_20,0,0,2,2,1,0,2,no_default_profile,no_default_profile_image,3,no_reply,no_quote
hasoc_en_78,username_66,1,1,3,0,0,0,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
hasoc_en_79,username_67,0,0,1,0,3,0,2,no_default_profile,no_default_profile_image,9,no_reply,no_quote
