Dataset_Index,user:masked_username,user:age_of_account_bins,user:verified,tweet:retweets_bins,tweet:favorites_bins,user:followers_bins,user:friends_bins,user:listed_bins,user:favorites_bins,user:statuses_bins,user:default_profile,user:default_profile_image,tweet:hour_bins,tweet:reply_status,tweet:quote_status
0,username_1,3,no_verified,1,0,4,4,4,2,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
2,username_2,3,no_verified,0,0,1,1,2,0,3,no_default_profile,no_default_profile_image,0,no_reply,no_quote
3,username_3,2,no_verified,0,0,3,4,3,3,3,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
4,username_4,4,no_verified,0,0,4,3,4,1,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
6,username_5,4,no_verified,0,0,4,5,4,2,3,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
7,username_6,2,no_verified,0,0,4,4,4,3,4,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
8,username_7,4,no_verified,0,0,2,4,2,0,3,no_default_profile,no_default_profile_image,0,no_reply,no_quote
10,username_8,1,no_verified,0,0,1,0,2,0,2,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
11,username_7,4,no_verified,0,0,2,4,2,0,3,no_default_profile,no_default_profile_image,3,no_reply,no_quote
12,username_9,4,no_verified,0,0,4,3,4,1,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
13,username_10,3,no_verified,0,0,2,2,0,4,0,no_default_profile,no_default_profile_image,4,no_reply,no_quote
14,username_11,0,no_verified,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
15,username_12,0,no_verified,0,0,4,5,2,3,3,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
16,username_13,0,no_verified,0,0,0,0,0,2,0,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
17,username_14,0,no_verified,0,0,2,4,2,2,1,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
18,username_15,2,no_verified,0,0,3,5,0,0,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
19,username_16,0,no_verified,0,0,0,0,1,1,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
20,username_17,2,no_verified,0,0,2,3,0,1,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
21,username_18,3,no_verified,0,0,3,4,0,3,4,no_default_profile,no_default_profile_image,2,no_reply,no_quote
22,username_19,2,no_verified,0,0,2,0,0,2,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
25,username_20,0,no_verified,0,0,1,2,3,2,1,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
26,username_21,3,no_verified,0,0,3,4,3,1,3,no_default_profile,no_default_profile_image,3,no_reply,no_quote
27,username_22,0,no_verified,0,0,0,1,0,0,0,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
28,username_7,4,no_verified,0,0,2,4,2,0,3,no_default_profile,no_default_profile_image,4,no_reply,no_quote
29,username_7,4,no_verified,0,0,2,4,2,0,3,no_default_profile,no_default_profile_image,3,no_reply,no_quote
30,username_23,2,no_verified,0,0,1,2,0,0,0,no_default_profile,no_default_profile_image,3,no_reply,no_quote
31,username_24,0,no_verified,0,0,1,2,0,1,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
32,username_25,4,no_verified,0,1,3,2,2,3,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
33,username_8,1,no_verified,0,1,1,0,2,0,2,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
34,username_26,4,no_verified,0,0,0,1,1,1,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
35,username_27,0,no_verified,0,0,1,5,0,1,2,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
36,username_28,3,no_verified,0,0,1,2,1,3,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
37,username_7,4,no_verified,0,0,2,4,2,0,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
