Dataset_Index,user:masked_username,tweet:retweets_bins,tweet:favorites_bins,user:followers_bins,user:friends_bins,user:listed_bins,user:favorites_bins,user:statuses_bins,user:default_profile,user:default_profile_image,tweet:hour_bins,tweet:reply_status,tweet:quote_status
mexa3t_es_1,username_1,0,0,1,4,3,0,4,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_2,username_2,0,0,0,0,0,1,4,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
mexa3t_es_3,username_3,0,2,1,4,3,1,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
mexa3t_es_4,username_4,0,0,1,0,2,0,2,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_5,username_5,0,1,1,3,3,2,4,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_6,username_6,0,0,0,0,0,3,1,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
mexa3t_es_7,username_7,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
mexa3t_es_8,username_8,0,0,1,4,3,0,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
mexa3t_es_9,username_9,0,0,0,0,0,0,1,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_10,username_10,0,0,1,4,3,3,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_11,username_11,0,0,0,2,1,1,0,no_default_profile,no_default_profile_image,1,no_reply,yes_quote
mexa3t_es_12,username_12,0,0,0,3,1,3,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
mexa3t_es_13,username_13,0,0,0,1,0,1,1,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_14,username_14,0,2,1,4,3,1,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_15,username_15,0,0,1,2,2,0,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_16,username_16,0,2,1,3,3,2,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_17,username_17,0,0,0,0,0,1,0,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_18,username_18,0,1,1,4,0,1,1,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_19,username_19,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_20,username_20,0,0,1,4,3,0,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
mexa3t_es_23,username_21,0,0,0,0,0,1,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_24,username_22,0,0,0,0,0,2,1,no_default_profile,no_default_profile_image,2,no_reply,yes_quote
mexa3t_es_25,username_23,0,0,0,0,0,1,2,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_27,username_24,0,2,1,4,3,3,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
mexa3t_es_28,username_25,0,0,1,4,2,3,3,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_29,username_26,0,0,0,0,0,0,0,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_31,username_27,0,0,1,4,2,4,3,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_32,username_28,0,0,0,3,0,1,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_33,username_29,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_34,username_30,0,0,0,0,0,3,1,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_35,username_31,0,0,0,4,2,0,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_36,username_32,0,0,0,2,0,0,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_37,username_33,0,0,1,2,1,4,4,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_38,username_34,0,0,1,3,2,3,4,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_39,username_35,0,0,0,1,0,2,1,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_40,username_36,0,2,0,3,0,3,2,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
mexa3t_es_41,username_37,0,1,0,0,0,1,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
mexa3t_es_43,username_38,0,2,1,3,2,3,3,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_45,username_39,0,0,0,1,0,0,0,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_49,username_40,0,0,0,0,0,0,0,yes_default_profile,yes_default_profile_image,2,yes_reply,no_quote
mexa3t_es_50,username_41,0,0,1,4,2,3,3,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_52,username_42,0,0,0,4,0,0,1,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_53,username_43,0,0,1,3,3,4,4,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_54,username_28,0,0,0,3,0,1,0,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_55,username_44,0,0,0,0,0,4,1,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
mexa3t_es_56,username_45,0,1,0,1,0,2,2,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_57,username_46,0,0,0,0,0,3,4,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_58,username_47,0,0,1,4,2,4,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
mexa3t_es_59,username_48,0,2,1,4,2,3,2,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_60,username_49,0,1,0,1,0,1,0,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_62,username_50,0,1,1,2,0,2,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_65,username_51,0,0,0,3,0,4,2,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_67,username_52,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
mexa3t_es_70,username_53,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_71,username_54,0,2,0,0,0,1,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_73,username_55,0,0,1,3,2,3,3,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_75,username_56,0,1,1,4,2,4,4,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_76,username_57,0,2,0,4,0,2,0,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_77,username_58,0,0,1,4,2,4,3,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_78,username_59,0,0,1,1,0,1,3,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_79,username_60,0,0,0,2,0,0,0,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_80,username_61,0,0,0,0,0,0,2,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_81,username_62,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_82,username_63,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_83,username_64,0,0,0,2,0,0,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_84,username_65,0,0,0,3,0,2,1,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_85,username_66,0,1,0,1,0,4,3,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_86,username_67,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,no_reply,yes_quote
mexa3t_es_88,username_68,0,0,1,4,3,3,4,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_89,username_69,0,0,1,4,3,2,4,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_90,username_70,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_91,username_71,0,2,0,1,2,4,4,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_92,username_72,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
mexa3t_es_93,username_73,0,2,1,4,3,4,3,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_94,username_74,0,0,1,3,1,1,1,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_95,username_75,0,0,0,2,0,0,0,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_96,username_20,0,0,1,4,3,0,3,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_97,username_76,0,0,1,3,2,3,3,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_98,username_77,0,1,0,2,0,2,0,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_99,username_78,0,0,1,2,0,1,2,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_101,username_79,0,0,0,0,0,1,0,yes_default_profile,no_default_profile_image,0,no_reply,yes_quote
mexa3t_es_102,username_80,0,0,0,0,1,0,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_103,username_81,0,0,1,3,0,3,1,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_104,username_82,0,0,0,0,0,1,1,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_105,username_83,0,2,0,3,1,0,1,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_106,username_84,0,0,0,0,0,2,1,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_107,username_85,0,0,0,0,2,2,2,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_108,username_86,0,0,0,1,0,2,0,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_110,username_87,0,0,0,0,0,0,0,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_113,username_46,0,2,0,0,0,3,4,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
mexa3t_es_115,username_88,0,0,1,4,2,3,4,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_116,username_40,0,0,0,0,0,0,0,yes_default_profile,yes_default_profile_image,2,yes_reply,no_quote
mexa3t_es_119,username_89,0,0,1,2,0,3,4,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
mexa3t_es_120,username_90,0,0,0,1,0,1,1,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
mexa3t_es_122,username_91,0,0,0,1,0,1,1,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
