Dataset_Index,user:masked_username,user:age_of_account_bins,user:verified,tweet:retweets_bins,tweet:favorites_bins,user:followers_bins,user:friends_bins,user:listed_bins,user:favorites_bins,user:statuses_bins,user:default_profile,user:default_profile_image,tweet:hour_bins,tweet:reply_status,tweet:quote_status
1,username_1,0,no_verified,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
2,username_2,0,no_verified,0,2,1,1,1,3,1,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
3,username_3,3,no_verified,0,0,2,4,2,3,2,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
4,username_4,4,no_verified,0,2,4,3,3,3,4,no_default_profile,no_default_profile_image,2,no_reply,no_quote
5,username_5,3,no_verified,0,0,1,1,1,0,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
8,username_6,3,no_verified,0,0,0,1,0,2,2,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
10,username_7,2,no_verified,0,2,4,2,1,3,2,no_default_profile,no_default_profile_image,4,no_reply,no_quote
11,username_8,4,no_verified,0,1,1,1,1,1,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
13,username_9,0,no_verified,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
16,username_10,2,no_verified,0,0,3,1,2,2,3,no_default_profile,no_default_profile_image,4,no_reply,no_quote
17,username_11,2,no_verified,0,0,2,2,1,2,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
18,username_12,2,no_verified,0,2,2,1,0,1,3,no_default_profile,no_default_profile_image,3,no_reply,no_quote
19,username_13,1,no_verified,0,0,0,0,1,2,1,no_default_profile,no_default_profile_image,1,no_reply,no_quote
20,username_14,1,no_verified,0,0,4,0,3,0,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
21,username_15,3,no_verified,0,0,1,1,0,0,1,no_default_profile,no_default_profile_image,0,no_reply,no_quote
22,username_16,0,no_verified,0,0,0,1,0,1,1,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
23,username_17,2,no_verified,0,2,2,0,0,3,1,no_default_profile,no_default_profile_image,3,no_reply,no_quote
24,username_18,1,no_verified,0,0,1,0,0,2,0,no_default_profile,no_default_profile_image,3,yes_reply,no_quote
