Dataset_index,user:masked_username,user:age_of_account_bins,user:verified,tweet:retweets_bins,tweet:favorites_bins,user:followers_bins,user:friends_bins,user:listed_bins,user:favorites_bins,user:statuses_bins,user:default_profile,user:default_profile_image,tweet:hour_bins,tweet:reply_status,tweet:quote_status
1,username_1,0,no_verified,0,1,0,0,0,0,0,no_default_profile,no_default_profile_image,1,no_reply,no_quote
2,username_2,2,no_verified,0,2,0,0,0,0,0,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
3,username_3,2,no_verified,0,1,2,4,3,2,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
4,username_4,0,no_verified,0,0,1,4,1,0,0,no_default_profile,no_default_profile_image,1,no_reply,no_quote
5,username_5,0,no_verified,0,1,1,4,2,3,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
6,username_6,2,no_verified,0,0,0,0,0,2,2,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
488,username_7,0,no_verified,1,0,4,4,3,4,4,no_default_profile,no_default_profile_image,1,no_reply,no_quote
1263,username_7,0,no_verified,1,0,4,4,3,4,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
1939,username_8,0,no_verified,1,0,4,0,2,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
1940,username_8,0,no_verified,0,0,4,0,2,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
1941,username_8,0,no_verified,1,0,4,0,2,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
1942,username_8,0,no_verified,1,0,4,0,2,0,0,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
1943,username_8,0,no_verified,1,0,4,0,2,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
1944,username_8,0,no_verified,0,0,4,0,2,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
1945,username_8,0,no_verified,0,0,4,0,2,0,0,yes_default_profile,no_default_profile_image,3,yes_reply,no_quote
1946,username_8,0,no_verified,1,0,4,0,2,0,0,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
1970,username_7,0,no_verified,1,0,4,4,3,4,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
1971,username_9,0,no_verified,0,2,0,1,0,0,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1972,username_10,3,no_verified,0,2,2,1,1,0,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1974,username_11,2,no_verified,1,2,2,4,1,2,2,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
1975,username_4,0,no_verified,0,0,1,4,1,0,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1976,username_12,3,no_verified,0,0,0,1,0,0,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1977,username_13,2,no_verified,0,1,0,4,0,1,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1978,username_2,2,no_verified,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
1979,username_14,2,no_verified,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
1980,username_15,2,no_verified,0,1,1,4,0,1,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1981,username_16,2,no_verified,0,0,1,2,0,0,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1983,username_17,0,no_verified,1,2,1,1,0,0,0,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
1984,username_18,3,no_verified,0,0,0,0,0,2,0,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
1985,username_19,0,no_verified,0,1,0,0,0,0,0,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
1986,username_12,3,no_verified,0,0,0,1,0,0,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1988,username_20,0,no_verified,0,1,0,0,0,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
1989,username_21,2,no_verified,0,1,0,4,0,0,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
1990,username_22,3,no_verified,0,1,0,1,0,0,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1991,username_23,3,no_verified,1,2,1,4,0,2,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
1992,username_4,0,no_verified,0,1,1,4,1,0,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1993,username_20,0,no_verified,0,1,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
1994,username_24,2,no_verified,1,1,1,1,1,0,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
1995,username_25,3,no_verified,0,1,0,0,0,1,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1996,username_26,2,no_verified,0,0,1,4,1,4,2,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
1997,username_27,2,no_verified,0,2,0,1,0,1,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
1998,username_28,2,no_verified,0,1,2,4,0,2,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
