Dataset_Index,user:masked_username,tweet:retweets_bins,tweet:favorites_bins,user:followers_bins,user:friends_bins,user:listed_bins,user:favorites_bins,user:statuses_bins,user:default_profile,user:default_profile_image,tweet:hour_bins,tweet:reply_status,tweet:quote_status
204,username_1,0,0,1,1,3,3,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
205,username_2,0,0,3,4,4,0,4,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
206,username_3,0,0,0,1,0,1,0,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
207,username_4,0,0,2,3,3,4,4,no_default_profile,no_default_profile_image,5,yes_reply,no_quote
209,username_5,1,0,2,3,1,1,0,no_default_profile,no_default_profile_image,2,no_reply,yes_quote
210,username_6,0,0,2,3,3,0,3,no_default_profile,no_default_profile_image,4,no_reply,no_quote
211,username_7,0,0,0,2,1,1,2,yes_default_profile,yes_default_profile_image,1,no_reply,no_quote
212,username_8,0,0,2,2,3,4,3,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
213,username_9,1,2,4,3,4,4,4,no_default_profile,no_default_profile_image,5,yes_reply,no_quote
214,username_10,0,0,4,4,4,3,4,yes_default_profile,no_default_profile_image,5,no_reply,no_quote
215,username_11,0,0,1,0,3,3,4,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
216,username_2,0,0,3,4,4,0,4,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
217,username_12,0,0,0,0,1,3,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
220,username_13,0,0,0,0,0,0,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
221,username_12,0,0,0,0,1,3,2,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
223,username_14,0,0,2,2,3,1,0,no_default_profile,no_default_profile_image,5,no_reply,no_quote
224,username_15,0,0,3,3,4,1,3,no_default_profile,no_default_profile_image,4,no_reply,no_quote
225,username_16,0,1,3,4,1,4,2,yes_default_profile,no_default_profile_image,2,no_reply,yes_quote
229,username_17,1,0,4,3,4,2,4,no_default_profile,no_default_profile_image,5,no_reply,no_quote
232,username_18,0,0,0,0,0,2,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
233,username_19,0,0,1,2,2,1,0,no_default_profile,no_default_profile_image,4,no_reply,no_quote
234,username_13,0,0,0,0,0,0,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
235,username_20,0,0,1,0,3,0,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
236,username_18,0,0,0,0,0,2,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
237,username_21,0,0,0,1,2,1,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
241,username_18,0,0,0,0,0,2,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
242,username_22,1,2,4,2,4,3,3,no_default_profile,no_default_profile_image,3,no_reply,no_quote
244,username_23,1,0,3,3,4,1,2,no_default_profile,no_default_profile_image,3,no_reply,yes_quote
246,username_24,1,2,3,4,3,4,4,yes_default_profile,no_default_profile_image,3,yes_reply,no_quote
249,username_2,0,0,3,4,4,0,4,yes_default_profile,no_default_profile_image,5,no_reply,no_quote
251,username_12,0,0,0,0,1,3,2,no_default_profile,no_default_profile_image,5,no_reply,no_quote
253,username_15,1,0,3,3,4,1,3,no_default_profile,no_default_profile_image,1,no_reply,no_quote
255,username_25,0,0,0,2,1,1,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
256,username_26,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,4,yes_reply,no_quote
257,username_27,0,0,0,1,0,0,0,no_default_profile,no_default_profile_image,0,no_reply,no_quote
258,username_28,0,0,1,2,2,1,0,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
260,username_29,0,0,3,4,4,1,1,no_default_profile,no_default_profile_image,3,no_reply,yes_quote
265,username_30,0,0,3,4,4,2,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
267,username_31,1,2,2,3,3,3,2,no_default_profile,no_default_profile_image,3,no_reply,no_quote
268,username_32,0,0,1,3,1,1,0,no_default_profile,no_default_profile_image,2,no_reply,no_quote
273,username_33,0,0,3,4,1,4,4,no_default_profile,no_default_profile_image,0,no_reply,yes_quote
274,username_34,0,1,2,3,3,3,4,no_default_profile,no_default_profile_image,4,no_reply,yes_quote
275,username_35,0,0,2,4,1,3,2,yes_default_profile,no_default_profile_image,1,no_reply,yes_quote
279,username_36,0,0,2,2,3,1,1,no_default_profile,no_default_profile_image,3,no_reply,no_quote
280,username_12,0,0,0,0,1,3,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
281,username_37,0,0,3,4,3,2,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
282,username_38,0,0,3,4,4,1,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
285,username_39,0,0,3,4,4,4,4,yes_default_profile,no_default_profile_image,3,no_reply,no_quote
286,username_40,0,0,0,0,1,0,1,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
287,username_41,0,0,2,3,3,3,1,no_default_profile,no_default_profile_image,5,no_reply,no_quote
288,username_2,0,0,3,4,4,0,4,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
