Dataset_Index,user:masked_username,tweet:retweets_bins,tweet:favorites_bins,user:followers_bins,user:friends_bins,user:listed_bins,user:favorites_bins,user:statuses_bins,user:default_profile,user:default_profile_image,tweet:hour_bins,tweet:reply_status,tweet:quote_status
20002,username_1,0,0,1,2,1,0,1,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
20003,username_2,0,2,3,4,3,4,4,no_default_profile,no_default_profile_image,2,no_reply,yes_quote
20007,username_3,0,2,3,3,2,3,1,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
20008,username_4,0,0,0,2,0,4,1,yes_default_profile,no_default_profile_image,4,yes_reply,no_quote
20009,username_5,0,0,3,4,3,1,4,no_default_profile,no_default_profile_image,1,no_reply,no_quote
20012,username_6,0,0,2,2,2,0,3,no_default_profile,no_default_profile_image,3,no_reply,no_quote
20013,username_7,0,0,1,1,0,1,1,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
20014,username_8,0,0,3,3,2,0,4,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20016,username_9,0,0,3,3,2,4,4,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
20017,username_10,0,0,0,1,0,3,0,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
20021,username_11,0,2,3,4,3,1,4,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20023,username_12,0,0,2,4,2,4,4,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20024,username_13,0,0,1,1,0,2,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20026,username_14,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,3,yes_reply,no_quote
20027,username_15,0,0,1,1,1,3,2,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
20028,username_16,0,2,3,4,3,4,3,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20029,username_17,0,2,2,3,2,1,1,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
20031,username_18,0,0,2,1,2,0,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20032,username_19,0,0,3,3,3,3,3,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
20035,username_20,0,0,2,0,1,4,4,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
20036,username_21,0,0,2,3,3,3,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20038,username_22,0,0,2,1,0,2,2,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
20042,username_23,0,0,0,0,0,2,1,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
20045,username_24,0,0,2,2,1,2,3,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
20048,username_25,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
20050,username_26,0,0,0,0,0,1,1,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
20051,username_27,0,2,3,2,3,3,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
20052,username_28,0,1,2,3,1,1,2,yes_default_profile,no_default_profile_image,0,no_reply,yes_quote
20054,username_29,0,0,3,4,3,0,4,no_default_profile,no_default_profile_image,1,no_reply,no_quote
20055,username_30,0,0,0,2,0,2,0,no_default_profile,no_default_profile_image,3,no_reply,no_quote
20056,username_31,0,0,0,1,0,0,0,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
20058,username_32,0,2,1,4,0,1,1,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
20060,username_33,0,0,2,4,3,1,4,no_default_profile,no_default_profile_image,1,no_reply,yes_quote
20061,username_34,0,2,3,3,3,4,4,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20062,username_35,0,0,1,1,0,4,1,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20065,username_36,0,0,1,3,2,2,2,no_default_profile,no_default_profile_image,3,yes_reply,no_quote
20066,username_37,0,0,3,1,3,1,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20068,username_38,0,1,3,2,2,4,3,no_default_profile,no_default_profile_image,0,no_reply,yes_quote
20074,username_39,0,0,0,2,0,0,0,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
20075,username_40,0,0,2,3,2,2,2,no_default_profile,no_default_profile_image,1,no_reply,no_quote
20076,username_41,0,0,1,1,0,1,1,yes_default_profile,no_default_profile_image,3,no_reply,yes_quote
20077,username_42,0,0,3,2,3,4,4,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
20078,username_43,0,0,1,1,3,0,3,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
20080,username_44,0,1,3,4,2,3,4,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
20083,username_45,0,0,3,3,1,1,3,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
20084,username_46,0,0,1,4,1,2,2,yes_default_profile,no_default_profile_image,4,yes_reply,no_quote
20085,username_47,0,0,1,2,0,1,2,no_default_profile,no_default_profile_image,3,yes_reply,no_quote
20086,username_48,0,0,0,2,0,0,0,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
20091,username_49,0,0,0,0,0,0,0,no_default_profile,no_default_profile_image,1,no_reply,no_quote
20092,username_50,0,0,0,3,0,3,1,no_default_profile,no_default_profile_image,3,yes_reply,no_quote
20094,username_51,0,2,2,3,2,3,4,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20095,username_52,0,0,0,1,0,0,1,yes_default_profile,yes_default_profile_image,3,no_reply,yes_quote
20096,username_53,0,0,0,0,1,1,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20097,username_54,0,0,2,2,0,4,2,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
20098,username_55,0,0,2,3,2,4,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20103,username_56,0,0,0,0,0,2,1,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
20104,username_57,0,0,0,0,1,0,3,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
20105,username_58,0,0,3,1,3,4,4,no_default_profile,no_default_profile_image,3,no_reply,no_quote
20107,username_59,0,0,2,1,2,3,3,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20109,username_60,0,0,0,1,1,3,2,no_default_profile,no_default_profile_image,4,no_reply,yes_quote
20110,username_61,0,1,2,1,2,2,2,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
20113,username_62,0,0,0,3,0,2,0,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
20115,username_63,0,1,0,1,0,1,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20117,username_64,0,0,2,3,0,3,2,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
20118,username_65,0,1,0,0,0,0,0,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20119,username_66,0,0,2,2,0,2,2,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
20120,username_67,0,0,1,1,2,2,4,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20122,username_68,0,0,2,1,1,0,1,no_default_profile,no_default_profile_image,1,no_reply,no_quote
20123,username_69,0,0,0,2,1,2,1,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
20126,username_70,0,0,0,0,0,1,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
20128,username_71,0,1,2,2,3,3,2,no_default_profile,no_default_profile_image,4,no_reply,yes_quote
20130,username_72,0,0,2,4,1,4,2,no_default_profile,no_default_profile_image,3,yes_reply,no_quote
20131,username_73,0,2,3,4,1,1,1,yes_default_profile,no_default_profile_image,1,no_reply,no_quote
20133,username_74,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,4,yes_reply,no_quote
20134,username_75,0,0,1,1,0,3,1,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20135,username_76,0,0,0,0,0,1,0,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
20137,username_77,0,0,1,0,1,3,3,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
20139,username_78,0,1,1,2,0,4,3,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20140,username_79,0,0,2,3,0,3,2,no_default_profile,no_default_profile_image,3,yes_reply,no_quote
20141,username_80,0,1,3,4,3,4,4,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20144,username_81,0,0,1,2,1,3,1,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20145,username_82,0,1,0,1,0,0,0,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
20146,username_83,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,4,yes_reply,no_quote
20147,username_84,0,0,1,1,0,2,1,no_default_profile,no_default_profile_image,1,no_reply,no_quote
20150,username_85,0,0,2,3,2,3,3,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20151,username_86,0,0,2,4,2,3,2,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
20153,username_87,0,0,2,3,3,4,3,no_default_profile,no_default_profile_image,4,yes_reply,no_quote
20154,username_88,0,0,2,1,1,3,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20156,username_89,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
20157,username_90,0,0,2,4,3,1,3,no_default_profile,no_default_profile_image,3,no_reply,yes_quote
20158,username_91,0,0,1,1,0,4,2,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20159,username_92,0,0,0,0,0,1,0,yes_default_profile,no_default_profile_image,4,yes_reply,no_quote
20160,username_93,0,0,2,2,1,2,2,no_default_profile,no_default_profile_image,2,yes_reply,no_quote
20163,username_94,0,0,1,0,0,2,1,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
20164,username_95,0,0,3,3,3,4,4,no_default_profile,no_default_profile_image,1,no_reply,yes_quote
20165,username_96,0,0,1,2,2,3,3,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20166,username_97,0,2,3,0,3,0,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20170,username_98,0,2,2,3,3,1,2,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20173,username_99,0,0,2,2,2,3,4,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
20174,username_100,0,0,3,2,3,4,3,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20176,username_101,0,0,1,0,1,4,4,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
20178,username_102,0,0,2,4,1,4,3,no_default_profile,no_default_profile_image,1,yes_reply,no_quote
20179,username_103,0,0,0,0,0,1,0,yes_default_profile,no_default_profile_image,0,yes_reply,no_quote
20180,username_104,0,0,0,1,0,1,0,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
20181,username_105,0,0,3,4,0,4,3,yes_default_profile,no_default_profile_image,3,yes_reply,no_quote
20183,username_106,0,0,3,4,2,2,3,yes_default_profile,no_default_profile_image,1,yes_reply,no_quote
20184,username_107,0,0,3,4,1,4,3,yes_default_profile,no_default_profile_image,2,no_reply,no_quote
20185,username_108,0,0,1,1,0,3,2,no_default_profile,no_default_profile_image,3,yes_reply,no_quote
20186,username_109,0,0,0,0,0,0,0,yes_default_profile,no_default_profile_image,4,no_reply,no_quote
20187,username_110,0,0,1,3,1,2,1,yes_default_profile,no_default_profile_image,2,yes_reply,no_quote
20190,username_111,0,0,3,4,3,3,4,no_default_profile,no_default_profile_image,4,no_reply,no_quote
20191,username_112,0,0,3,0,3,0,1,no_default_profile,no_default_profile_image,2,no_reply,no_quote
20192,username_113,0,0,3,3,3,4,4,no_default_profile,no_default_profile_image,0,no_reply,no_quote
20193,username_114,0,2,3,3,3,4,2,yes_default_profile,no_default_profile_image,0,no_reply,no_quote
20194,username_115,0,0,2,3,0,3,2,no_default_profile,no_default_profile_image,0,yes_reply,no_quote
20196,username_116,0,0,2,2,2,1,3,no_default_profile,no_default_profile_image,2,no_reply,no_quote
